,acc_train,acc_test,epsilon,batch_size,hidden_size,aux_loss_activated,EPS1,n
0,100,71,0.1,32,10,True,0.001,1000
1,99,80,0.1,32,10,True,0.001,5000
2,99,83,0.1,32,10,True,0.001,10000
3,99,87,0.1,32,10,True,0.001,100000
4,99,90,0.1,32,10,True,0.001,200000
5,100,68,0.1,32,10,True,0.01,1000
6,99,83,0.1,32,10,True,0.01,5000
7,99,81,0.1,32,10,True,0.01,10000
8,99,89,0.1,32,10,True,0.01,100000
9,99,89,0.1,32,10,True,0.01,200000
10,99,73,0.1,32,10,True,0.0001,1000
11,99,78,0.1,32,10,True,0.0001,5000
12,99,84,0.1,32,10,True,0.0001,10000
13,99,88,0.1,32,10,True,0.0001,100000
14,99,89,0.1,32,10,True,0.0001,200000
15,99,67,0.1,32,10,True,1e-05,1000
16,99,82,0.1,32,10,True,1e-05,5000
17,99,84,0.1,32,10,True,1e-05,10000
18,99,90,0.1,32,10,True,1e-05,100000
19,99,90,0.1,32,10,True,1e-05,200000
20,100,76,0.1,32,10,False,0.001,1000
21,99,82,0.1,32,10,False,0.001,5000
22,99,82,0.1,32,10,False,0.001,10000
23,99,89,0.1,32,10,False,0.001,100000
24,99,89,0.1,32,10,False,0.001,200000
25,99,69,0.1,32,10,False,0.01,1000
26,99,82,0.1,32,10,False,0.01,5000
27,99,84,0.1,32,10,False,0.01,10000
28,99,87,0.1,32,10,False,0.01,100000
29,99,90,0.1,32,10,False,0.01,200000
30,100,58,0.1,32,10,False,0.0001,1000
31,99,80,0.1,32,10,False,0.0001,5000
32,99,82,0.1,32,10,False,0.0001,10000
33,99,84,0.1,32,10,False,0.0001,100000
34,99,88,0.1,32,10,False,0.0001,200000
35,99,63,0.1,32,10,False,1e-05,1000
36,99,82,0.1,32,10,False,1e-05,5000
37,99,83,0.1,32,10,False,1e-05,10000
38,99,86,0.1,32,10,False,1e-05,100000
39,99,89,0.1,32,10,False,1e-05,200000
40,100,67,0.1,32,50,True,0.001,1000
41,99,84,0.1,32,50,True,0.001,5000
42,99,85,0.1,32,50,True,0.001,10000
43,99,88,0.1,32,50,True,0.001,100000
44,99,90,0.1,32,50,True,0.001,200000
45,100,64,0.1,32,50,True,0.01,1000
46,99,76,0.1,32,50,True,0.01,5000
47,99,82,0.1,32,50,True,0.01,10000
48,99,88,0.1,32,50,True,0.01,100000
49,99,90,0.1,32,50,True,0.01,200000
50,100,64,0.1,32,50,True,0.0001,1000
51,99,77,0.1,32,50,True,0.0001,5000
52,99,80,0.1,32,50,True,0.0001,10000
53,99,89,0.1,32,50,True,0.0001,100000
54,99,90,0.1,32,50,True,0.0001,200000
55,100,75,0.1,32,50,True,1e-05,1000
56,99,82,0.1,32,50,True,1e-05,5000
57,99,83,0.1,32,50,True,1e-05,10000
58,99,88,0.1,32,50,True,1e-05,100000
