,acc_train,acc_test,epsilon,batch_size,hidden_size,aux_loss_activated,EPS1,n
0,99,81,0.1,32,150,True,0.001,5000
1,99,83,0.1,32,150,True,0.001,10000
2,99,89,0.1,32,150,True,0.001,100000
3,99,81,0.1,32,150,True,0.01,5000
4,99,86,0.1,32,150,True,0.01,10000
5,99,89,0.1,32,150,True,0.01,100000
6,100,84,0.1,32,150,True,0.0001,5000
7,99,82,0.1,32,150,True,0.0001,10000
8,99,89,0.1,32,150,True,0.0001,100000
9,100,80,0.1,32,150,True,1e-05,5000
10,99,82,0.1,32,150,True,1e-05,10000
11,99,89,0.1,32,150,True,1e-05,100000
12,99,81,0.1,32,150,False,0.001,5000
13,99,83,0.1,32,150,False,0.001,10000
14,99,89,0.1,32,150,False,0.001,100000
15,99,79,0.1,32,150,False,0.01,5000
16,99,83,0.1,32,150,False,0.01,10000
17,99,89,0.1,32,150,False,0.01,100000
18,100,79,0.1,32,150,False,0.0001,5000
19,99,82,0.1,32,150,False,0.0001,10000
20,99,88,0.1,32,150,False,0.0001,100000
21,99,80,0.1,32,150,False,1e-05,5000
22,99,81,0.1,32,150,False,1e-05,10000
23,99,86,0.1,32,150,False,1e-05,100000
24,99,83,0.1,64,150,True,0.001,5000
25,99,82,0.1,64,150,True,0.001,10000
26,99,89,0.1,64,150,True,0.001,100000
27,99,83,0.1,64,150,True,0.01,5000
28,99,84,0.1,64,150,True,0.01,10000
29,99,90,0.1,64,150,True,0.01,100000
30,99,75,0.1,64,150,True,0.0001,5000
31,99,85,0.1,64,150,True,0.0001,10000
32,99,87,0.1,64,150,True,0.0001,100000
33,99,83,0.1,64,150,True,1e-05,5000
34,99,82,0.1,64,150,True,1e-05,10000
35,99,90,0.1,64,150,True,1e-05,100000
36,99,81,0.1,64,150,False,0.001,5000
37,99,85,0.1,64,150,False,0.001,10000
38,99,89,0.1,64,150,False,0.001,100000
39,100,78,0.1,64,150,False,0.01,5000
40,99,82,0.1,64,150,False,0.01,10000
41,99,90,0.1,64,150,False,0.01,100000
42,99,80,0.1,64,150,False,0.0001,5000
43,99,84,0.1,64,150,False,0.0001,10000
44,99,86,0.1,64,150,False,0.0001,100000
45,99,82,0.1,64,150,False,1e-05,5000
46,99,84,0.1,64,150,False,1e-05,10000
47,99,89,0.1,64,150,False,1e-05,100000
48,99,82,0.1,128,150,True,0.001,5000
49,99,82,0.1,128,150,True,0.001,10000
50,99,89,0.1,128,150,True,0.001,100000
51,99,77,0.1,128,150,True,0.01,5000
52,99,81,0.1,128,150,True,0.01,10000
53,99,90,0.1,128,150,True,0.01,100000
54,100,81,0.1,128,150,True,0.0001,5000
55,99,82,0.1,128,150,True,0.0001,10000
56,99,86,0.1,128,150,True,0.0001,100000
57,99,80,0.1,128,150,True,1e-05,5000
58,99,83,0.1,128,150,True,1e-05,10000
59,99,88,0.1,128,150,True,1e-05,100000
60,99,82,0.1,128,150,False,0.001,5000
61,99,85,0.1,128,150,False,0.001,10000
62,99,88,0.1,128,150,False,0.001,100000
63,99,82,0.1,128,150,False,0.01,5000
64,99,84,0.1,128,150,False,0.01,10000
65,99,89,0.1,128,150,False,0.01,100000
66,100,82,0.1,128,150,False,0.0001,5000
67,99,85,0.1,128,150,False,0.0001,10000
68,99,88,0.1,128,150,False,0.0001,100000
69,99,81,0.1,128,150,False,1e-05,5000
70,99,83,0.1,128,150,False,1e-05,10000
71,99,89,0.1,128,150,False,1e-05,100000
72,99,79,0.1,256,150,True,0.001,5000
73,99,83,0.1,256,150,True,0.001,10000
74,99,89,0.1,256,150,True,0.001,100000
75,99,79,0.1,256,150,True,0.01,5000
76,99,82,0.1,256,150,True,0.01,10000
77,99,89,0.1,256,150,True,0.01,100000
78,99,79,0.1,256,150,True,0.0001,5000
79,99,85,0.1,256,150,True,0.0001,10000
80,99,89,0.1,256,150,True,0.0001,100000
81,99,79,0.1,256,150,True,1e-05,5000
82,99,85,0.1,256,150,True,1e-05,10000
83,99,89,0.1,256,150,True,1e-05,100000
84,99,80,0.1,256,150,False,0.001,5000
85,99,83,0.1,256,150,False,0.001,10000
86,99,89,0.1,256,150,False,0.001,100000
87,99,82,0.1,256,150,False,0.01,5000
88,99,83,0.1,256,150,False,0.01,10000
89,99,89,0.1,256,150,False,0.01,100000
90,99,81,0.1,256,150,False,0.0001,5000
91,99,83,0.1,256,150,False,0.0001,10000
