,acc_train,acc_test,epsilon,batch_size,hidden_size,aux_loss_activated,EPS1,n,opt
0,99,84,0.1,256,150,True,0.001,10000,1
1,99,84,0.1,256,150,True,0.001,10000,2
2,99,83,0.1,256,150,True,0.001,10000,3
3,99,88,0.1,256,150,True,0.001,100000,1
4,99,88,0.1,256,150,True,0.001,100000,2
5,99,90,0.1,256,150,True,0.001,100000,3
6,99,84,0.1,256,150,True,0.01,10000,1
7,99,83,0.1,256,150,True,0.01,10000,2
8,99,85,0.1,256,150,True,0.01,10000,3
9,99,89,0.1,256,150,True,0.01,100000,1
10,99,89,0.1,256,150,True,0.01,100000,2
11,99,89,0.1,256,150,True,0.01,100000,3
12,99,84,0.1,256,150,True,0.0001,10000,1
13,99,84,0.1,256,150,True,0.0001,10000,2
14,99,83,0.1,256,150,True,0.0001,10000,3
15,99,89,0.1,256,150,True,0.0001,100000,1
16,99,89,0.1,256,150,True,0.0001,100000,2
17,99,89,0.1,256,150,True,0.0001,100000,3
18,99,81,0.1,256,150,True,1e-05,10000,1
19,99,84,0.1,256,150,True,1e-05,10000,2
20,99,82,0.1,256,150,True,1e-05,10000,3
21,99,88,0.1,256,150,True,1e-05,100000,1
22,99,89,0.1,256,150,True,1e-05,100000,2
23,99,89,0.1,256,150,True,1e-05,100000,3
24,99,86,0.1,256,150,False,0.001,10000,1
25,99,85,0.1,256,150,False,0.001,10000,2
26,99,82,0.1,256,150,False,0.001,10000,3
27,99,88,0.1,256,150,False,0.001,100000,1
28,99,89,0.1,256,150,False,0.001,100000,2
29,99,89,0.1,256,150,False,0.001,100000,3
30,99,83,0.1,256,150,False,0.01,10000,1
31,99,83,0.1,256,150,False,0.01,10000,2
32,99,84,0.1,256,150,False,0.01,10000,3
33,99,88,0.1,256,150,False,0.01,100000,1
34,99,89,0.1,256,150,False,0.01,100000,2
35,99,89,0.1,256,150,False,0.01,100000,3
36,99,83,0.1,256,150,False,0.0001,10000,1
37,99,83,0.1,256,150,False,0.0001,10000,2
38,99,83,0.1,256,150,False,0.0001,10000,3
39,99,89,0.1,256,150,False,0.0001,100000,1
40,99,89,0.1,256,150,False,0.0001,100000,2
41,99,89,0.1,256,150,False,0.0001,100000,3
42,99,84,0.1,256,150,False,1e-05,10000,1
43,99,84,0.1,256,150,False,1e-05,10000,2
44,99,83,0.1,256,150,False,1e-05,10000,3
45,99,89,0.1,256,150,False,1e-05,100000,1
46,99,87,0.1,256,150,False,1e-05,100000,2
47,99,89,0.1,256,150,False,1e-05,100000,3
48,99,82,0.1,512,150,True,0.001,10000,1
49,99,81,0.1,512,150,True,0.001,10000,2
50,99,82,0.1,512,150,True,0.001,10000,3
51,99,89,0.1,512,150,True,0.001,100000,1
52,99,90,0.1,512,150,True,0.001,100000,2
53,99,89,0.1,512,150,True,0.001,100000,3
54,99,83,0.1,512,150,True,0.01,10000,1
55,99,83,0.1,512,150,True,0.01,10000,2
56,99,83,0.1,512,150,True,0.01,10000,3
57,99,90,0.1,512,150,True,0.01,100000,1
